time;SP;pSP;IPG1G2;IPG1;pG1P;IPG2;pG2P;SC;pSC;ICG1G2;ICG1;pG1C;ICG2;pG2C;N;...17;file;dSP;gammaPG1;dIPG1;gammaPG2;dIPG2;dSC;gammaCG1;dICG1;gammaCG2;dICG2;psiG1;FG1;psiG2;FG2;pi;FGB;c;kappa;sigma;eul;demog_feedback;vanish_threshold;pBc;pBp;pGc;pGp;fc
4909196;0.0999584;1.11076e-4;0;0;0;899.814;0.999889;5.59662e-6;1.11076e-4;0;0;0;0.05038;0.999889;899.964;NA;./competition_output_1005;3.34211;1;3.34211;1;1;3.34211;1;3.34211;1;1;10;2.5;10;10;1;12.5;0.02;0.001;0;1e-4;1;1e-7;0;0;0.9998889242089916;0.9998889244920951;5.59862356938722e-5
0;29.9331;0.965774;0;0;0;1.0608;0.0342261;29.933;0.965774;0;0;0;1.06078;0.0342256;61.9877;NA;./competition_output_1006;3.34211;1;3.34211;1;1;3.34211;1;3.34211;1;1;10;3;10;10;1;13;0.02;0.001;0;1e-4;1;1e-7;0;0;0.034225576873811454;0.03422608964989885;0.4999988707437121
10;29.0371;0.938664;0;0;0;1.8974;0.0613359;29.0365;0.938672;0;0;0;1.89711;0.0613283;61.8682;NA;./competition_output_1006;3.34211;1;3.34211;1;1;3.34211;1;3.34211;1;1;10;3;10;10;1;13;0.02;0.001;0;1e-4;1;1e-7;0;0;0.0613284385495259;0.06133604874816144;0.49999207993767397
50;17.4909;0.565971;0;0;0;13.4133;0.434029;17.4892;0.566051;0;0;0;13.4077;0.433949;61.8011;NA;./competition_output_1006;3.34211;1;3.34211;1;1;3.34211;1;3.34211;1;1;10;3;10;10;1;13;0.02;0.001;0;1e-4;1;1e-7;0;0;0.43394968427253217;0.43402838449142833;0.49994093956256447
100;1.60963;0.0506314;0;0;0;30.1815;0.949369;1.60929;0.0506693;0;0;0;30.1513;0.949331;63.5517;NA;./competition_output_1006;3.34211;1;3.34211;1;1;3.34211;1;3.34211;1;1;10;3;10;10;1;13;0.02;0.001;0;1e-4;1;1e-7;0;0;0.9493306012262366;0.9493685817396236;0.4997598805382075
1000;0.0503273;7.67557e-4;0;0;0;65.5179;0.999232;0.049481;7.67648e-4;0;0;0;64.4085;0.999232;130.026;NA;./competition_output_1006;3.34211;1;3.34211;1;1;3.34211;1;3.34211;1;1;10;3;10;10;1;13;0.02;0.001;0;1e-4;1;1e-7;0;0;0.9992323526236417;0.9992324437906528;0.49573147678156676
4909196;0.0999584;1.11076e-4;0;0;0;899.814;0.999889;5.59662e-6;1.11076e-4;0;0;0;0.05038;0.999889;899.964;NA;./competition_output_1006;3.34211;1;3.34211;1;1;3.34211;1;3.34211;1;1;10;3;10;10;1;13;0.02;0.001;0;1e-4;1;1e-7;0;0;0.9998889242089916;0.9998889244920951;5.59862356938722e-5
0;29.9331;0.965774;0;0;0;1.0608;0.0342261;29.933;0.965774;0;0;0;1.06078;0.0342256;61.9877;NA;./competition_output_1007;3.34211;1;3.34211;1;1;3.34211;1;3.34211;1;1;10;3.5;10;10;1;13.5;0.02;0.001;0;1e-4;1;1e-7;0;0;0.034225576873811454;0.03422608964989885;0.4999988707437121
10;29.0371;0.938664;0;0;0;1.8974;0.0613359;29.0365;0.938672;0;0;0;1.89711;0.0613283;61.8682;NA;./competition_output_1007;3.34211;1;3.34211;1;1;3.34211;1;3.34211;1;1;10;3.5;10;10;1;13.5;0.02;0.001;0;1e-4;1;1e-7;0;0;0.0613284385495259;0.06133604874816144;0.49999207993767397
50;17.4909;0.565971;0;0;0;13.4133;0.434029;17.4892;0.566051;0;0;0;13.4077;0.433949;61.8011;NA;./competition_output_1007;3.34211;1;3.34211;1;1;3.34211;1;3.34211;1;1;10;3.5;10;10;1;13.5;0.02;0.001;0;1e-4;1;1e-7;0;0;0.43394968427253217;0.43402838449142833;0.49994093956256447
100;1.60963;0.0506314;0;0;0;30.1815;0.949369;1.60929;0.0506693;0;0;0;30.1513;0.949331;63.5517;NA;./competition_output_1007;3.34211;1;3.34211;1;1;3.34211;1;3.34211;1;1;10;3.5;10;10;1;13.5;0.02;0.001;0;1e-4;1;1e-7;0;0;0.9493306012262366;0.9493685817396236;0.4997598805382075
1000;0.0503273;7.67557e-4;0;0;0;65.5179;0.999232;0.049481;7.67648e-4;0;0;0;64.4085;0.999232;130.026;NA;./competition_output_1007;3.34211;1;3.34211;1;1;3.34211;1;3.34211;1;1;10;3.5;10;10;1;13.5;0.02;0.001;0;1e-4;1;1e-7;0;0;0.9992323526236417;0.9992324437906528;0.49573147678156676
4909196;0.0999584;1.11076e-4;0;0;0;899.814;0.999889;5.59662e-6;1.11076e-4;0;0;0;0.05038;0.999889;899.964;NA;./competition_output_1007;3.34211;1;3.34211;1;1;3.34211;1;3.34211;1;1;10;3.5;10;10;1;13.5;0.02;0.001;0;1e-4;1;1e-7;0;0;0.9998889242089916;0.9998889244920951;5.59862356938722e-5
0;29.9331;0.965774;0;0;0;1.0608;0.0342261;29.933;0.965774;0;0;0;1.06078;0.0342256;61.9877;NA;./competition_output_1008;3.34211;1;3.34211;1;1;3.34211;1;3.34211;1;1;10;4;10;10;1;14;0.02;0.001;0;1e-4;1;1e-7;0;0;0.034225576873811454;0.03422608964989885;0.4999988707437121
10;29.0371;0.938664;0;0;0;1.8974;0.0613359;29.0365;0.938672;0;0;0;1.89711;0.0613283;61.8682;NA;./competition_output_1008;3.34211;1;3.34211;1;1;3.34211;1;3.34211;1;1;10;4;10;10;1;14;0.02;0.001;0;1e-4;1;1e-7;0;0;0.0613284385495259;0.06133604874816144;0.49999207993767397
50;17.4909;0.565971;0;0;0;13.4133;0.434029;17.4892;0.566051;0;0;0;13.4077;0.433949;61.8011;NA;./competition_output_1008;3.34211;1;3.34211;1;1;3.34211;1;3.34211;1;1;10;4;10;10;1;14;0.02;0.001;0;1e-4;1;1e-7;0;0;0.43394968427253217;0.43402838449142833;0.49994093956256447
100;1.60963;0.0506314;0;0;0;30.1815;0.949369;1.60929;0.0506693;0;0;0;30.1513;0.949331;63.5517;NA;./competition_output_1008;3.34211;1;3.34211;1;1;3.34211;1;3.34211;1;1;10;4;10;10;1;14;0.02;0.001;0;1e-4;1;1e-7;0;0;0.9493306012262366;0.9493685817396236;0.4997598805382075
1000;0.0503273;7.67557e-4;0;0;0;65.5179;0.999232;0.049481;7.67648e-4;0;0;0;64.4085;0.999232;130.026;NA;./competition_output_1008;3.34211;1;3.34211;1;1;3.34211;1;3.34211;1;1;10;4;10;10;1;14;0.02;0.001;0;1e-4;1;1e-7;0;0;0.9992323526236417;0.9992324437906528;0.49573147678156676
4909196;0.0999584;1.11076e-4;0;0;0;899.814;0.999889;5.59662e-6;1.11076e-4;0;0;0;0.05038;0.999889;899.964;NA;./competition_output_1008;3.34211;1;3.34211;1;1;3.34211;1;3.34211;1;1;10;4;10;10;1;14;0.02;0.001;0;1e-4;1;1e-7;0;0;0.9998889242089916;0.9998889244920951;5.59862356938722e-5
0;29.9331;0.965774;0;0;0;1.0608;0.0342261;29.933;0.965774;0;0;0;1.06078;0.0342256;61.9877;NA;./competition_output_1009;3.34211;1;3.34211;1;1;3.34211;1;3.34211;1;1;10;4.5;10;10;1;14.5;0.02;0.001;0;1e-4;1;1e-7;0;0;0.034225576873811454;0.03422608964989885;0.4999988707437121
10;29.0371;0.938664;0;0;0;1.8974;0.0613359;29.0365;0.938672;0;0;0;1.89711;0.0613283;61.8682;NA;./competition_output_1009;3.34211;1;3.34211;1;1;3.34211;1;3.34211;1;1;10;4.5;10;10;1;14.5;0.02;0.001;0;1e-4;1;1e-7;0;0;0.0613284385495259;0.06133604874816144;0.49999207993767397
50;17.4909;0.565971;0;0;0;13.4133;0.434029;17.4892;0.566051;0;0;0;13.4077;0.433949;61.8011;NA;./competition_output_1009;3.34211;1;3.34211;1;1;3.34211;1;3.34211;1;1;10;4.5;10;10;1;14.5;0.02;0.001;0;1e-4;1;1e-7;0;0;0.43394968427253217;0.43402838449142833;0.49994093956256447
100;1.60963;0.0506314;0;0;0;30.1815;0.949369;1.60929;0.0506693;0;0;0;30.1513;0.949331;63.5517;NA;./competition_output_1009;3.34211;1;3.34211;1;1;3.34211;1;3.34211;1;1;10;4.5;10;10;1;14.5;0.02;0.001;0;1e-4;1;1e-7;0;0;0.9493306012262366;0.9493685817396236;0.4997598805382075
1000;0.0503273;7.67557e-4;0;0;0;65.5179;0.999232;0.049481;7.67648e-4;0;0;0;64.4085;0.999232;130.026;NA;./competition_output_1009;3.34211;1;3.34211;1;1;3.34211;1;3.34211;1;1;10;4.5;10;10;1;14.5;0.02;0.001;0;1e-4;1;1e-7;0;0;0.9992323526236417;0.9992324437906528;0.49573147678156676
4909196;0.0999584;1.11076e-4;0;0;0;899.814;0.999889;5.59662e-6;1.11076e-4;0;0;0;0.05038;0.999889;899.964;NA;./competition_output_1009;3.34211;1;3.34211;1;1;3.34211;1;3.34211;1;1;10;4.5;10;10;1;14.5;0.02;0.001;0;1e-4;1;1e-7;0;0;0.9998889242089916;0.9998889244920951;5.59862356938722e-5
0;29.9709;0.966779;0;1.02988;0.033221;0;0;30.0007;1;0;0;0;0;0;61.0015;NA;./competition_output_101;0.736842;1;0.736842;1;1;0.736842;1;0.736842;1;1;10;0.5;10;10;1;10.5;0.02;0.001;0;1e-4;1;1e-7;0;0.03322109959813914;0;0;0.4918026605903133
10;29.6265;0.955493;0;1.38001;0.044507;0;0;30.0062;1;0;0;0;0;0;61.0127;NA;./competition_output_101;0.736842;1;0.736842;1;1;0.736842;1;0.736842;1;1;10;0.5;10;10;1;10.5;0.02;0.001;0;1e-4;1;1e-7;0;0.04450710512082785;0;0;0.4918025263592662
